epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.684,1.24511,1.17217,1.39126,0.72903,0.69296,0.72868,0.46833,0.96796,2.11351,1.0798,0.000277452,0.000277452,0.000277452
2,520.934,1.25423,1.1572,1.38457,0.72005,0.69148,0.71727,0.45975,1.00173,2.02935,1.1194,0.0005368,0.0005368,0.0005368
3,771.244,1.27396,1.19384,1.40339,0.72764,0.67882,0.71635,0.44569,1.03672,1.89585,1.14412,0.000777821,0.000777821,0.000777821
4,1022.07,1.281,1.19808,1.40865,0.72738,0.67,0.70903,0.44259,1.03533,2.13937,1.1414,0.000750533,0.000750533,0.000750533
5,1273.15,1.28268,1.17263,1.40458,0.72193,0.68439,0.71391,0.44846,1.01609,1.96872,1.13491,0.000723044,0.000723044,0.000723044
6,1522.63,1.2613,1.15227,1.38916,0.72318,0.68149,0.71442,0.45379,1.01244,1.875,1.1181,0.000695555,0.000695555,0.000695555
7,1773.52,1.25458,1.1429,1.38213,0.71646,0.69548,0.72144,0.46121,1.01054,2.06266,1.12265,0.000668066,0.000668066,0.000668066
8,2025.13,1.24892,1.12448,1.376,0.73136,0.69063,0.72133,0.46217,0.99672,1.51032,1.11258,0.000640577,0.000640577,0.000640577
9,2276.57,1.23008,1.09916,1.36684,0.73691,0.69504,0.7246,0.46577,0.98721,1.74518,1.10165,0.000613088,0.000613088,0.000613088
10,2525.9,1.22391,1.08007,1.35541,0.72861,0.7037,0.73273,0.47631,0.98857,1.41411,1.10222,0.000585599,0.000585599,0.000585599
11,2775.57,1.21318,1.06697,1.35586,0.76194,0.69959,0.73566,0.47393,0.9845,1.65575,1.09657,0.00055811,0.00055811,0.00055811
12,3024.92,1.21226,1.05789,1.34699,0.76339,0.70138,0.74062,0.4834,0.97763,1.50126,1.08488,0.000530621,0.000530621,0.000530621
13,3274.09,1.19687,1.03544,1.33841,0.74592,0.70611,0.74037,0.48471,0.97021,1.64771,1.07873,0.000503132,0.000503132,0.000503132
14,3526.1,1.1853,1.01864,1.33584,0.76494,0.70324,0.74246,0.4885,0.95963,1.46348,1.07727,0.000475643,0.000475643,0.000475643
15,3777.23,1.18336,1.00426,1.33037,0.76741,0.70723,0.74821,0.49345,0.96281,1.36863,1.07585,0.000448154,0.000448154,0.000448154
16,4028.43,1.17487,0.99401,1.32246,0.76302,0.72249,0.75071,0.49551,0.95128,1.42194,1.06163,0.000420665,0.000420665,0.000420665
17,4277.62,1.16639,0.98237,1.31863,0.75934,0.73675,0.75425,0.50058,0.95423,1.28225,1.06784,0.000393176,0.000393176,0.000393176
18,4525.52,1.15698,0.95679,1.30962,0.77728,0.72533,0.75362,0.50007,0.95364,1.41446,1.06951,0.000365687,0.000365687,0.000365687
19,4774.69,1.15029,0.95956,1.30588,0.77941,0.7266,0.75852,0.50795,0.94489,1.38381,1.05752,0.000338198,0.000338198,0.000338198
20,5024.21,1.14617,0.95407,1.30285,0.77767,0.72656,0.75767,0.50542,0.9488,1.42687,1.06356,0.000310709,0.000310709,0.000310709
21,5274.31,1.08953,0.69685,1.27754,0.77672,0.73502,0.76035,0.51064,0.94421,1.3205,1.05701,0.00028322,0.00028322,0.00028322
22,5522.7,1.06068,0.66457,1.25681,0.77315,0.73913,0.76463,0.51481,0.94402,1.18037,1.05805,0.000255731,0.000255731,0.000255731
23,5771.75,1.05033,0.64625,1.25017,0.77312,0.73366,0.76468,0.51768,0.93056,1.22514,1.04833,0.000228242,0.000228242,0.000228242
24,6019.59,1.0393,0.63533,1.23624,0.78485,0.73575,0.76715,0.519,0.92539,1.22002,1.04164,0.000200753,0.000200753,0.000200753
25,6267.22,1.02057,0.62406,1.22098,0.77292,0.7435,0.76624,0.51856,0.92254,1.22331,1.04264,0.000173264,0.000173264,0.000173264
26,6515.22,1.00691,0.60588,1.21781,0.79057,0.72818,0.76462,0.52105,0.92097,1.21368,1.04092,0.000145775,0.000145775,0.000145775
27,6763.19,1.0009,0.60066,1.21092,0.78268,0.73623,0.76753,0.52142,0.92426,1.16895,1.04169,0.000118286,0.000118286,0.000118286
28,7011.72,0.98474,0.58926,1.19871,0.79306,0.7405,0.76964,0.52332,0.92526,1.20383,1.0458,9.0797e-05,9.0797e-05,9.0797e-05
29,7258.94,0.98561,0.58316,1.1947,0.78921,0.74678,0.77098,0.52404,0.92355,1.18922,1.0431,6.3308e-05,6.3308e-05,6.3308e-05
30,7506.48,0.97629,0.5783,1.19268,0.78932,0.7503,0.77158,0.52486,0.92317,1.19048,1.04484,3.5819e-05,3.5819e-05,3.5819e-05
